date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:47	109816/109816	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1acf8%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	(from )
23:31:48	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2022:31:48%20GMT	https://demos.themeselection.com/robots.txt		(from )
23:31:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2021%20Mar%202024%2022:31:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dalih/Downloads/T/template_1.0/www.googletagmanager.com/gtm.15445.delayed	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:50	65727/65727	---M--	200	added ('OK')	text/css	etag:%2265bca73c-100bf%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/boxicons.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/boxicons.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:51	31173/31173	---M--	200	added ('OK')	text/css	etag:%2265bca73c-79c5%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:51	101686/101686	---M--	200	added ('OK')	text/css	etag:%2265bca73c-18d36%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:53	51246/51246	---M--	200	added ('OK')	text/css	etag:%2265bca73c-c82e%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:53	3055/3055	---M--	200	added ('OK')	text/css	etag:%2265bca73c-bef%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/css/demo.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/css/demo.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:53	5478/5478	---M--	200	added ('OK')	text/css	etag:%2265bca73c-1566%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:53	1821/1821	---M--	200	added ('OK')	text/css	etag:%2265bca73c-71d%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:53	20367/20367	---M--	200	added ('OK')	text/css	etag:%2265bca73c-4f8f%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
23:31:54	616431/616431	---M--	200	added ('OK')	text/css	etag:%2265bca73c-967ef%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	C:/Users/dalih/Downloads/T/template_1.0/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html)
